iter	Passed	Remaining
706	377415	690237
707	377966	689735
708	378542	689278
709	379143	688865
710	379662	688304
711	380184	687750
712	380816	687391
713	381391	686932
714	381961	686461
715	382487	685912
716	383059	685447
717	383515	684772
718	384035	684213
719	384548	683641
720	385053	683055
721	385573	682497
722	386124	681993
723	386675	681489
724	387232	680995
725	387820	680555
726	388360	680032
727	388905	679515
728	389438	678980
729	389996	678486
730	390562	678007
731	391064	677418
732	391563	676821
733	392117	676321
734	392645	675777
735	393206	675289
736	393762	674791
737	394370	674384
738	394907	673853
739	395478	673383
740	396034	672883
741	396521	672270
742	397099	671809
743	397658	671315
744	398265	670903
745	398811	670388
746	399342	669847
747	399911	669371
748	400493	668915
749	401051	668419
750	401613	667929
751	402111	667333
752	402649	666804
753	403236	666356
754	403782	665839
755	404344	665349
756	404918	664879
757	405383	664229
758	405945	663738
759	406479	663203
760	407058	662739
761	407569	662167
762	408103	661630
763	408621	661068
764	409209	660619
765	409734	660068
766	410309	659598
767	410931	659202
768	411491	658707
769	412049	658209
770	412630	657746
771	413233	657320
772	413808	656847
773	414371	656355
774	414961	655907
775	415493	655365
776	416043	654854
777	416537	654252
778	417151	653840
779	417717	653353
780	418236	652791
781	418804	652306
782	419356	651797
783	419905	651281
784	420437	650741
785	421046	650318
786	421601	649813
787	422170	649328
788	422680	648753
789	423225	648231
790	423732	647652
791	424302	647168
792	424849	646649
793	425356	646070
794	425950	645623
795	426567	645209
796	427134	644720
797	427686	644209
798	428281	643763
799	428774	643161
800	429295	642604
801	429897	642166
802	430450	641655
803	431037	641194
804	431596	640692
805	432179	640226
806	432731	639712
807	433245	639144
808	433740	638547
809	434321	638077
810	434820	637486
811	435389	636998
812	435854	636357
813	436322	635723
814	436861	635190
815	437437	634713
816	437959	634157
817	438518	633653
818	439093	633173
819	439661	632682
820	440218	632177
821	440776	631673
822	441368	631215
823	441880	630644
824	442378	630054
825	442898	629494
826	443393	628900
827	443976	628430
828	444494	627868
829	445057	627370
830	445643	626903
831	446234	626444
832	446805	625956
833	447332	625407
834	447849	624843
835	448344	624250
836	448889	623725
837	449448	623220
838	450010	622720
839	450586	622238
840	451138	621723
841	451627	621121
842	452207	620645
843	452767	620141
844	453330	619641
845	453929	619189
846	454529	618739
847	455116	618271
848	455608	617674
849	456152	617147
850	456688	616610
851	457295	616168
852	457885	615703
853	458496	615265
854	459044	614743
855	459617	614255
856	460232	613822
857	460803	613330
858	461342	612795
859	461947	612349
860	462450	611767
861	463067	611334
862	463600	610791
863	464177	610307
864	464738	609801
865	465216	609186
866	465782	608686
867	466256	608067
868	466823	607569
869	467355	607025
870	467889	606483
871	467970	605355
872	468551	604876
873	469149	604419
874	469663	603853
875	470198	603313
876	470741	602784
877	471188	602133
878	471751	601631
879	472339	601158
880	472931	600692
881	473468	600156
882	474055	599682
883	474558	599102
884	475050	598509
885	475549	597925
886	476080	597381
887	476652	596889
888	477204	596371
889	477699	595782
890	478267	595284
891	478835	594787
892	479373	594250
893	479940	593751
894	480477	593215
895	480993	592652
896	481561	592154
897	482117	591640
898	482640	591087
899	483202	590580
900	483706	590003
901	484226	589446
902	484818	588976
903	485387	588479
904	485940	587961
905	486495	587445
906	487067	586951
907	487631	586446
908	488155	585894
909	488639	585294
910	489181	584762
911	489755	584269
912	490383	583840
913	491008	583408
914	491677	583027
915	492237	582517
916	492761	581963
917	493282	581406
918	493790	580835
919	494279	580240
920	494874	579771
921	495448	579277
922	495919	578662
923	496451	578118
924	496963	577551
925	497494	577008
926	498064	576508
927	498544	575905
928	499133	575427
929	499701	574925
930	500168	574307
931	500710	573775
932	501228	573216
933	501723	572631
934	502310	572150
935	502845	571610
936	503366	571055
937	503904	570519
938	504484	570030
939	504991	569458
940	505436	568817
941	505928	568230
942	506514	567746
943	507100	567265
944	507663	566756
945	508230	566252
946	508759	565705
947	509349	565227
948	509952	564762
949	510514	564253
950	511037	563699
951	511559	563145
952	512076	562585
953	512652	562090
954	513239	561607
955	513849	561149
956	514353	560575
957	514890	560037
958	515475	559551
959	516068	559073
960	516665	558600
961	517194	558053
962	517805	557594
963	518387	557105
964	518972	556618
965	519587	556163
966	520134	555635
967	520696	555122
968	521307	554662
969	521899	554182
970	522438	553645
971	522962	553091
972	523537	552592
973	524028	552005
974	524583	551484
975	525064	550887
976	525623	550371
977	526150	549822
978	526743	549341
979	527186	548704
980	527797	548242
981	528283	547649
982	528799	547089
983	529294	546507
984	529770	545905
985	530272	545331
986	530827	544810
987	531341	544248
988	531937	543770
989	532551	543310
990	533189	542873
991	533802	542412
992	534378	541912
993	534977	541436
994	535580	540963
995	536033	540338
996	536630	539859
997	537213	539366
998	537774	538851
999	538282	538282
1000	538749	537673
1001	539283	537130
1002	539829	536599
1003	540427	536121
1004	540926	535543
1005	541468	535009
1006	542017	534481
1007	542565	533953
1008	543101	533412
1009	543667	532902
1010	544202	532360
1011	544683	531766
1012	545188	531195
1013	545763	530693
1014	546374	530225
1015	546885	529660
1016	547468	529165
1017	548016	528637
1018	548535	528079
1019	549122	527588
1020	549688	527076
1021	550286	526595
1022	550852	526082
1023	551406	525559
1024	551923	525000
1025	552474	524473
1026	553011	523933
1027	553614	523456
1028	554161	522926
1029	554748	522433
1030	555322	521927
1031	555891	521417
1032	556414	520863
1033	556926	520300
1034	557476	519772
1035	558069	519284
1036	558623	518759
1037	559170	518229
1038	559719	517700
1039	560238	517143
1040	560837	516660
1041	561362	516108
1042	561927	515593
1043	562462	515052
1044	563007	514518
1045	563591	514021
1046	564135	513487
1047	564678	512952
1048	565173	512373
1049	565673	511799
1050	566238	511284
1051	566795	510762
1052	567302	510195
1053	567913	509721
1054	568475	509203
1055	569033	508681
1056	569577	508147
1057	570128	507619
1058	570709	507117
1059	571319	506641
1060	571923	506160
1061	572517	505670
1062	573099	505168
1063	573645	504635
1064	574266	504167
1065	574881	503695
1066	575483	503211
1067	575947	502606
1068	576521	502097
1069	577031	501532
1070	577549	500974
1071	578129	500469
1072	578612	499882
1073	579171	499360
1074	579722	498831
1075	580277	498304
1076	580831	497778
1077	581273	497156
1078	581821	496624
1079	582377	496099
1080	582911	495555
1081	583502	495060
1082	584025	494507
1083	584603	494000
1084	585164	493479
1085	585719	492953
1086	586218	492380
1087	586787	491865
1088	587348	491344
1089	587862	490784
1090	588427	490266
1091	588987	489744
1092	589563	489234
1093	590137	488724
1094	590704	488208
1095	591248	487671
1096	591827	487164
1097	592415	486665
1098	592986	486151
1099	593582	485658
1100	594155	485145
1101	594661	484578
1102	595215	484050
1103	595712	483477
1104	596212	482905
1105	596792	482397
1106	597413	481924
1107	597983	481408
1108	598578	480913
1109	599160	480407
1110	599721	479885
1111	600323	479395
1112	600876	478865
1113	601413	478323
1114	601980	477804
1115	602563	477299
1116	603091	476749
1117	603630	476209
1118	604147	475651
1119	604690	475114
1120	605251	474590
1121	605805	474061
1122	606367	473538
1123	606925	473012
1124	607489	472491
1125	608037	471958
1126	608535	471385
1127	609100	470865
1128	609624	470312
1129	610210	469807
1130	610730	469253
1131	611291	468728
1132	611835	468191
1133	612374	467650
1134	612897	467098
1135	613464	466578
1136	614034	466061
1137	614572	465519
1138	615119	464985
1139	615688	464466
1140	616242	463936
1141	616814	463421
1142	617371	462893
1143	617847	462305
1144	618457	461817
1145	618905	461208
1146	619413	460645
